Pos;2011;2010;Title;Director;Year;Country;Mins;Genre;Colour;Amazon;IMDB;Google
179;172;205;Deer Hunter, The;Cimino, Michael;1978;US;183;War-Drama;Col;Amazon;IMDB;Goog
180;178;206;Wages of Fear, The;Clouzot, Henri-Georges;1952;France-Italy;105;Thriller-Adventure-Action;BW;Amazon;IMDB;Goog
181;177;171;Travelling Players, The;Angelopoulos, Theo;1975;Greece;230;Political-Drama;Col;Amazon;IMDB;Goog
182;179;181;Gospel According to St. Matthew, The;Pasolini, Pier Paolo;1964;France-Italy;135;Religious-Drama;BW;Amazon;IMDB;Goog
183;207;192;Blow-Up;Antonioni, Michelangelo;1966;Italy-UK;111;Mystery-Drama;Col;Amazon;IMDB;Goog
184;174;164;Ivan the Terrible, Part One;Eisenstein, Sergei;1944;Russia;96;Historical-Drama-Biography;BW;Amazon;IMDB;Goog
185;181;175;Belle et la bête, La;Cocteau, Jean;1946;France;95;Fantasy;BW;Amazon;IMDB;Goog
186;185;198;Great Dictator, The;Chaplin, Charles;1940;US;128;War-Comedy-Political;BW;Amazon;IMDB;Goog
187;183;178;Last Laugh, The;Murnau, F.W.;1924;Germany;77;Drama;BW;Amazon;IMDB;Goog
188;180;168;Palm Beach Story, The;Sturges, Preston;1942;US;90;Romance-Comedy;BW;Amazon;IMDB;Goog
189;191;186;Performance;Roeg, Nicolas/Donald Cammell;1970;UK;105;Drama;Col;Amazon;IMDB;Goog
190;188;183;Vampyr;Dreyer, Carl;1932;France-Germany;73;Horror;BW;Amazon;IMDB;Goog
191;184;176;Mother and the Whore, The;Eustache, Jean;1973;France;210;Drama;BW;Amazon;IMDB;Goog
192;189;173;Discreet Charm of the Bourgeoisie, The;Buñuel, Luis;1972;France;100;Fantasy-Drama-Comedy;Col;Amazon;IMDB;Goog
193;225;207;Kind Hearts and Coronets;Hamer, Robert;1949;UK;104;Comedy;BW;Amazon;IMDB;Goog
194;192;191;Paths of Glory;Kubrick, Stanley;1957;US;86;War-Drama;BW;Amazon;IMDB;Goog
195;202;220;Bridge on the River Kwai, The;Lean, David;1957;UK;161;War-Drama-Action;Col;Amazon;IMDB;Goog
196;197;194;It Happened One Night;Capra, Frank;1934;US;105;Romance-Comedy;BW;Amazon;IMDB;Goog
197;211;246;In the Mood for Love;Wong Kar-wai;2000;Hong Kong-France;97;Romance-Drama;Col;Amazon;IMDB;Goog
198;203;213;Bride of Frankenstein;Whale, James;1935;US;75;Horror-Science Fiction;BW;Amazon;IMDB;Goog
199;187;180;World of Apu, The;Ray, Satyajit;1959;India;103;Drama;BW;Amazon;IMDB;Goog
200;190;187;Death in Venice;Visconti, Luchino;1971;Italy;130;Drama;Col;Amazon;IMDB;Goog
201;200;217;Unforgiven;Eastwood, Clint;1992;US;127;Western;Col;Amazon;IMDB;Goog
202;193;182;Monsieur Verdoux;Chaplin, Charles;1947;US;123;Crime-Comedy;BW;Amazon;IMDB;Goog
203;215;223;Peeping Tom;Powell, Michael;1960;UK;109;Thriller-Drama;BW;Amazon;IMDB;Goog
204;210;193;Eclisse, L';Antonioni, Michelangelo;1962;France-Italy;123;Drama;BW;Amazon;IMDB;Goog
205;198;203;Schindler's List;Spielberg, Steven;1993;US;195;War-Historical-Drama;Col-BW;Amazon;IMDB;Goog
206;196;209;Shop Around the Corner, The;Lubitsch, Ernst;1940;US;97;Romance-Comedy;BW;Amazon;IMDB;Goog
207;195;195;Late Spring;Ozu, Yasujiro;1949;Japan;108;Romance-Drama-Family;BW;Amazon;IMDB;Goog
208;220;234;Texas Chainsaw Massacre, The [1974];Hooper, Tobe;1974;US;83;Thriller-Horror;Col;Amazon;IMDB;Goog
209;208;218;Rosemary's Baby;Polanski, Roman;1968;US;136;Thriller-Horror-Drama;Col;Amazon;IMDB;Goog
210;209;221;Johnny Guitar;Ray, Nicholas;1954;US;110;Western;Col;Amazon;IMDB;Goog
211;216;201;Sans soleil;Marker, Chris;1983;France;100;Avant-Garde-Documentary;Col;Amazon;IMDB;Goog
212;199;197;River, The [1951];Renoir, Jean;1951;US-India;99;Romance-Drama;Col;Amazon;IMDB;Goog
213;224;243;Snow White and the Seven Dwarfs;Hand, David;1937;US;83;Animated-Family-Fantasy;Col;Amazon;IMDB;Goog
214;212;200;Ali: Fear Eats the Soul;Fassbinder, Rainer Werner;1974;Germany;94;Romance-Drama;Col;Amazon;IMDB;Goog
215;217;202;Crowd, The;Vidor, King;1928;US;104;Drama;BW;Amazon;IMDB;Goog
216;204;189;Music Room, The;Ray, Satyajit;1958;India;95;Drama;BW;Amazon;IMDB;Goog
217;214;208;Umbrellas of Cherbourg, The;Demy, Jacques;1964;France-Germany;91;Romance-Musical-Drama;Col;Amazon;IMDB;Goog
218;205;190;Celine and Julie Go Boating;Rivette, Jacques;1974;France;192;Fantasy-Drama-Avant-Garde;Col;Amazon;IMDB;Goog
219;206;196;Throne of Blood;Kurosawa, Akira;1957;Japan;108;War-Drama;BW;Amazon;IMDB;Goog
220;218;219;Close-Up;Kiarostami, Abbas;1989;Iran;93;Documentary-Drama-Crime;Col;Amazon;IMDB;Goog
221;213;199;Pandora's Box;Pabst, G.W.;1928;Germany;110;Drama-Crime-Romance;BW;Amazon;IMDB;Goog
222;221;226;Only Angels Have Wings;Hawks, Howard;1939;US;121;Drama-Adventure-Romance;BW;Amazon;IMDB;Goog
223;234;244;Crimes and Misdemeanors;Allen, Woody;1989;US;104;Drama-Comedy;Col;Amazon;IMDB;Goog
224;230;227;Solaris [1972];Tarkovsky, Andrei;1972;USSR;165;Science Fiction-Drama-Mystery;Col-BW;Amazon;IMDB;Goog
225;223;229;Samouraï, Le;Melville, Jean-Pierre;1967;France;95;Thriller-Crime;Col;Amazon;IMDB;Goog
226;226;204;Spirit of the Beehive, The;Erice, Victor;1973;Spain;95;Drama;Col;Amazon;IMDB;Goog
227;219;241;Shoot the Piano Player;Truffaut, François;1960;France;92;Drama-Crime-Thriller;BW;Amazon;IMDB;Goog
